CodigoMusica,NomeMusica,Duracao
1,Será,00:02:28
2,"Ainda é cedo",00:03:00
3,"Geração Coca-Cola",00:02:20
4,"Eduardo e Mõnica",00:04:32
5,"Tempo Perdido",00:05:00
6,Índios,00:04:23
7,"Que País é esse",00:02:54
8,"Faroeste Caboclo",00:09:03
9,"Há tempo",00:03:16
10,"Pais e Filhos",00:03:16
11,"Meninos e Meninas",00:03:22
12,"Vento no Litoral",00:06:05
13,Perfeição,00:04:34
14,Giz,00:03:20
15,Dezesseis,00:05:28
16,"Antes das seis",00:03:09
17,"Meninos, eu vi",00:03:25
18,"Eu te amo",00:03:06
19,"Piano na Mangueira",00:02:23
20,"A violeira",00:02:54
21,"Anos Dourados",00:02:56
22,"Olha, Maria",00:03:55
23,Biscate,00:03:20
24,"Retrato em Branco e Preto",00:03:03
25,"Falando de Amor",00:03:20
26,"Pois é",00:02:48
27,"Noite dos Mascarados",00:02:42
28,Sabiá,00:03:20
29,Imagina,00:03:52
30,Bate-Boca,00:04:41
